# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-04-16 12:54:51 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06730200 BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06730200
#    DD parameter   Description
#    03   00065     Gage height, feet
#    04   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	tz_cd	04_00060	04_00060_cd
5s	15s	20d	6s	14n	10s
USGS	06730200	2013-09-01 00:00	MDT	57	A
USGS	06730200	2013-09-01 00:15	MDT	57	A
USGS	06730200	2013-09-01 00:30	MDT	57	A
USGS	06730200	2013-09-01 00:45	MDT	57	A
USGS	06730200	2013-09-01 01:00	MDT	57	A
USGS	06730200	2013-09-01 01:15	MDT	57	A
USGS	06730200	2013-09-01 01:30	MDT	57	A
USGS	06730200	2013-09-01 01:45	MDT	57	A
USGS	06730200	2013-09-01 02:00	MDT	57	A
USGS	06730200	2013-09-01 02:15	MDT	57	A
USGS	06730200	2013-09-01 02:30	MDT	56	A
USGS	06730200	2013-09-01 02:45	MDT	56	A
USGS	06730200	2013-09-01 03:00	MDT	56	A
USGS	06730200	2013-09-01 03:15	MDT	57	A
USGS	06730200	2013-09-01 03:30	MDT	57	A
USGS	06730200	2013-09-01 03:45	MDT	56	A
USGS	06730200	2013-09-01 04:00	MDT	56	A
USGS	06730200	2013-09-01 04:15	MDT	56	A
USGS	06730200	2013-09-01 04:30	MDT	56	A
USGS	06730200	2013-09-01 04:45	MDT	56	A
USGS	06730200	2013-09-01 05:00	MDT	56	A
USGS	06730200	2013-09-01 05:15	MDT	56	A
USGS	06730200	2013-09-01 05:30	MDT	56	A
USGS	06730200	2013-09-01 05:45	MDT	56	A
USGS	06730200	2013-09-01 06:00	MDT	56	A
USGS	06730200	2013-09-01 06:15	MDT	56	A
USGS	06730200	2013-09-01 06:30	MDT	56	A
USGS	06730200	2013-09-01 06:45	MDT	56	A
USGS	06730200	2013-09-01 07:00	MDT	56	A
USGS	06730200	2013-09-01 07:15	MDT	56	A
USGS	06730200	2013-09-01 07:30	MDT	57	A
USGS	06730200	2013-09-01 07:45	MDT	59	A
USGS	06730200	2013-09-01 08:00	MDT	62	A
USGS	06730200	2013-09-01 08:15	MDT	63	A
USGS	06730200	2013-09-01 08:30	MDT	63	A
USGS	06730200	2013-09-01 08:45	MDT	62	A
USGS	06730200	2013-09-01 09:00	MDT	62	A
USGS	06730200	2013-09-01 09:15	MDT	60	A
USGS	06730200	2013-09-01 09:30	MDT	60	A
USGS	06730200	2013-09-01 09:45	MDT	59	A
USGS	06730200	2013-09-01 10:00	MDT	59	A
USGS	06730200	2013-09-01 10:15	MDT	59	A
USGS	06730200	2013-09-01 10:30	MDT	57	A
USGS	06730200	2013-09-01 10:45	MDT	57	A
USGS	06730200	2013-09-01 11:00	MDT	57	A
USGS	06730200	2013-09-01 11:15	MDT	57	A
USGS	06730200	2013-09-01 11:30	MDT	56	A
USGS	06730200	2013-09-01 11:45	MDT	56	A
USGS	06730200	2013-09-01 12:00	MDT	56	A
USGS	06730200	2013-09-01 12:15	MDT	56	A
USGS	06730200	2013-09-01 12:30	MDT	56	A
