,record_id,month,day,year,plot,species,sex,wgt
503,504,1,8,1978,3,OL,,
504,505,1,8,1978,13,DM,M,43.0
505,506,1,8,1978,2,,,
506,507,1,8,1978,2,DM,M,44.0
507,508,1,8,1978,20,DM,F,36.0
508,509,1,8,1978,3,,,
509,510,1,8,1978,13,PF,F,8.0
510,511,1,8,1978,2,DM,M,38.0
511,512,1,8,1978,9,DS,F,122.0
512,513,1,8,1978,2,OL,,
513,514,1,8,1978,9,PF,M,7.0
514,515,1,8,1978,9,DO,F,42.0
515,516,1,8,1978,9,DM,M,46.0
516,517,1,8,1978,2,PE,M,22.0
517,518,1,8,1978,2,DM,M,38.0
518,519,1,8,1978,2,DM,M,48.0
519,520,1,8,1978,3,PF,M,7.0
520,521,1,8,1978,2,DM,M,43.0
521,522,1,8,1978,2,DM,F,35.0
522,523,1,8,1978,2,DM,M,43.0
523,524,1,8,1978,20,DM,,
524,525,1,8,1978,6,DM,M,36.0
525,526,1,8,1978,9,DS,F,117.0
526,527,1,8,1978,2,DM,F,37.0
527,528,1,8,1978,20,DS,M,122.0
528,529,1,8,1978,9,DM,M,43.0
529,530,1,8,1978,13,DM,M,42.0
530,531,1,8,1978,20,,,
531,532,1,8,1978,2,PF,F,7.0
532,533,1,8,1978,2,DM,M,45.0
533,534,1,8,1978,2,OT,,
534,535,1,8,1978,7,,,
535,536,1,8,1978,22,,,
536,537,1,9,1978,14,OT,,
537,538,1,9,1978,17,DM,M,40.0
538,539,1,9,1978,17,DM,F,37.0
539,540,1,9,1978,17,DS,F,117.0
540,541,1,9,1978,11,DM,M,40.0
541,542,1,9,1978,1,DM,M,40.0
542,543,1,9,1978,4,DS,M,132.0
543,544,1,9,1978,14,OL,,
544,545,1,9,1978,1,DM,F,36.0
545,546,1,9,1978,11,,,
546,547,1,9,1978,8,OT,,
547,548,1,9,1978,8,DS,M,150.0
548,549,1,9,1978,11,DM,M,44.0
549,550,1,9,1978,14,DM,F,40.0
550,551,1,9,1978,4,DS,F,126.0
551,552,1,9,1978,11,DS,F,122.0
552,553,1,9,1978,8,DS,F,136.0
553,554,1,9,1978,14,,,
554,555,1,9,1978,14,DS,F,116.0
555,556,1,9,1978,17,DM,F,38.0
556,557,1,9,1978,11,DM,F,39.0
557,558,1,9,1978,1,DS,F,135.0
558,559,1,9,1978,14,DM,M,46.0
559,560,1,9,1978,17,DS,M,133.0
560,561,1,9,1978,11,DS,M,136.0
561,562,1,9,1978,19,,,
562,563,1,9,1978,23,,,
563,564,1,10,1978,18,DS,F,141.0
564,565,1,10,1978,12,,,
565,566,1,10,1978,18,DM,F,38.0
566,567,1,10,1978,12,DM,F,35.0
567,568,1,10,1978,21,OT,,
568,569,1,10,1978,5,DS,M,135.0
569,570,1,10,1978,5,OT,,
570,571,1,10,1978,18,DM,F,33.0
571,572,1,10,1978,18,DM,M,51.0
572,573,1,10,1978,5,DS,F,122.0
573,574,1,10,1978,18,DM,F,33.0
574,575,1,10,1978,18,DM,M,47.0
575,576,1,10,1978,18,DM,M,49.0
576,577,1,10,1978,21,OT,,
577,578,1,10,1978,18,DM,M,46.0
578,579,1,10,1978,5,DM,F,45.0
579,580,1,10,1978,12,DM,M,41.0
580,581,1,10,1978,10,,,
581,582,1,10,1978,15,,,
582,583,1,10,1978,16,,,
583,584,2,18,1978,3,OT,M,24.0
584,585,2,18,1978,2,DS,M,157.0
585,586,2,18,1978,13,DM,M,51.0
586,587,2,18,1978,2,OX,,
587,588,2,18,1978,2,,M,218.0
588,589,2,18,1978,20,DM,F,38.0
589,590,2,18,1978,2,PF,F,7.0
590,591,2,18,1978,6,DM,F,
591,592,2,18,1978,22,DM,M,45.0
592,593,2,18,1978,2,DM,M,52.0
593,594,2,18,1978,9,DM,M,50.0
594,595,2,18,1978,2,DM,M,51.0
595,596,2,18,1978,9,DS,F,126.0
596,597,2,18,1978,20,DM,F,39.0
597,598,2,18,1978,2,OT,F,24.0
598,599,2,18,1978,3,OT,F,23.0
599,600,2,18,1978,2,DM,F,40.0
600,601,2,18,1978,2,DM,M,41.0
601,602,2,18,1978,13,DM,M,46.0
602,603,2,18,1978,2,OT,M,25.0
603,604,2,18,1978,2,PE,M,25.0
604,605,2,18,1978,19,,,
605,606,2,18,1978,23,,,
606,607,2,19,1978,5,DM,F,39.0
607,608,2,19,1978,17,DM,F,42.0
608,609,2,19,1978,4,DS,F,
609,610,2,19,1978,17,DM,M,39.0
610,611,2,19,1978,21,OT,F,23.0
611,612,2,19,1978,4,DS,,
612,613,2,19,1978,5,DS,M,
613,614,2,19,1978,4,DS,F,124.0
614,615,2,19,1978,5,DS,F,114.0
615,616,2,19,1978,11,DM,M,44.0
616,617,2,19,1978,11,DM,M,48.0
617,618,2,19,1978,14,DS,F,
618,619,2,19,1978,14,DM,F,44.0
619,620,2,19,1978,8,DS,F,132.0
620,621,2,19,1978,4,PF,,
621,622,2,19,1978,17,DS,F,137.0
622,623,2,19,1978,21,OT,,
623,624,2,19,1978,4,DM,M,39.0
624,625,2,19,1978,5,DM,F,56.0
625,626,2,19,1978,17,OL,F,35.0
626,627,2,19,1978,17,DM,,
627,628,2,19,1978,11,DM,,
628,629,2,19,1978,14,,,197.0
629,630,2,19,1978,5,OT,F,22.0
630,631,2,19,1978,5,OT,M,25.0
631,632,2,19,1978,7,,,
632,633,2,19,1978,8,DS,M,154.0
633,634,2,19,1978,10,,,
634,635,2,20,1978,15,DM,M,49.0
635,636,2,20,1978,18,DM,F,44.0
636,637,2,20,1978,18,DM,F,35.0
637,638,2,20,1978,12,DM,F,36.0
638,639,2,20,1978,1,DM,F,39.0
639,640,2,20,1978,12,DS,F,133.0
640,641,2,20,1978,15,DM,M,50.0
641,642,2,20,1978,1,DM,M,43.0
642,643,2,20,1978,15,DM,F,40.0
643,644,2,20,1978,18,DM,M,45.0
644,645,2,20,1978,12,DM,M,44.0
645,646,2,20,1978,18,,M,228.0
646,647,2,20,1978,1,DS,F,144.0
647,648,2,20,1978,16,DM,F,46.0
648,649,2,20,1978,16,DM,M,48.0
649,650,3,11,1978,2,PF,F,7.0
650,651,3,11,1978,20,DM,M,45.0
651,652,3,11,1978,2,PF,M,8.0
652,653,3,11,1978,22,DS,F,133.0
653,654,3,11,1978,22,DM,F,40.0
654,655,3,11,1978,3,,M,232.0
655,656,3,11,1978,9,DS,F,128.0
656,657,3,11,1978,2,DS,M,153.0
657,658,3,11,1978,3,OT,F,22.0
658,659,3,11,1978,20,OT,F,21.0
659,660,3,11,1978,2,DM,M,53.0
660,661,3,11,1978,2,,,
661,662,3,11,1978,13,PF,F,8.0
662,663,3,11,1978,2,OT,M,25.0
663,664,3,11,1978,2,DM,M,43.0
664,665,3,11,1978,20,DM,F,43.0
665,666,3,11,1978,13,OL,M,38.0
666,667,3,11,1978,20,DM,F,42.0
667,668,3,11,1978,3,OT,M,26.0
668,669,3,11,1978,9,DS,F,146.0
669,670,3,11,1978,2,OT,F,25.0
670,671,3,11,1978,2,PE,M,28.0
671,672,3,11,1978,3,PF,M,8.0
672,673,3,11,1978,2,PE,F,29.0
673,674,3,11,1978,20,DS,M,122.0
674,675,3,11,1978,6,,,
675,676,3,11,1978,23,,,
676,677,3,12,1978,5,DS,M,137.0
677,678,3,12,1978,4,DS,M,131.0
678,679,3,12,1978,5,DS,F,125.0
679,680,3,12,1978,17,DM,M,
680,681,3,12,1978,14,DS,F,
681,682,3,12,1978,21,OT,,
682,683,3,12,1978,21,PF,F,
683,684,3,12,1978,4,DM,M,43.0
684,685,3,12,1978,17,DS,F,
685,686,3,12,1978,4,PF,,
686,687,3,12,1978,5,DS,F,69.0
687,688,3,12,1978,4,DS,F,141.0
688,689,3,12,1978,11,DS,M,138.0
689,690,3,12,1978,11,DM,M,43.0
690,691,3,12,1978,4,DS,F,124.0
691,692,3,12,1978,14,DM,,
692,693,3,12,1978,21,OT,M,
693,694,3,12,1978,11,DM,F,43.0
694,695,3,12,1978,17,RM,,
695,696,3,12,1978,5,DM,F,45.0
696,697,3,12,1978,11,DM,M,46.0
697,698,3,12,1978,14,DM,F,
698,699,3,12,1978,5,DM,F,43.0
699,700,3,12,1978,5,DM,M,49.0
700,701,3,12,1978,17,OL,,
701,702,3,12,1978,5,DM,M,47.0
702,703,3,12,1978,17,DS,M,
703,704,3,12,1978,5,DM,M,
704,705,3,12,1978,11,DS,F,
705,706,3,12,1978,17,OT,F,
706,707,3,12,1978,17,DM,F,
707,708,3,12,1978,5,OT,M,26.0
708,709,3,12,1978,10,,,
709,710,3,13,1978,8,DS,M,152.0
710,711,3,13,1978,18,DM,F,44.0
711,712,3,13,1978,15,DM,M,48.0
712,713,3,13,1978,8,OT,M,29.0
713,714,3,13,1978,15,DM,F,44.0
714,715,3,13,1978,18,DM,M,49.0
715,716,3,13,1978,15,DM,M,45.0
716,717,3,13,1978,1,DM,F,51.0
717,718,3,13,1978,8,DO,M,57.0
718,719,3,13,1978,18,DM,M,
719,720,3,13,1978,8,DS,F,134.0
720,721,3,13,1978,1,DM,F,44.0
721,722,3,13,1978,16,OL,F,30.0
722,723,3,13,1978,8,OT,F,35.0
723,724,3,13,1978,15,DM,M,48.0
724,725,3,13,1978,1,DS,F,146.0
725,726,3,13,1978,18,DM,F,37.0
726,727,3,13,1978,7,,,
727,728,3,13,1978,12,,,
728,729,3,13,1978,15,DM,M,46.0
729,730,3,13,1978,19,,,
