,record_id,month,day,year,plot,species,sex,wgt
19536,19537,1,8,1992,21,RM,M,11.0
19537,19538,1,8,1992,12,DM,M,
19538,19539,1,8,1992,2,DM,M,42.0
19539,19540,1,8,1992,7,PE,M,20.0
19540,19541,1,8,1992,1,DM,M,53.0
19541,19542,1,8,1992,12,RM,F,8.0
19542,19543,1,8,1992,19,BA,F,9.0
19543,19544,1,8,1992,21,RM,F,9.0
19544,19545,1,8,1992,2,DO,F,46.0
19545,19546,1,8,1992,18,SF,M,35.0
19546,19547,1,8,1992,2,DX,,
19547,19548,1,8,1992,19,RM,M,12.0
19548,19549,1,8,1992,23,RM,M,12.0
19549,19550,1,8,1992,24,RM,F,10.0
19550,19551,1,8,1992,1,DO,M,31.0
19551,19552,1,8,1992,2,DO,M,47.0
19552,19553,1,8,1992,22,DM,F,35.0
19553,19554,1,8,1992,23,RM,,
19554,19555,1,8,1992,17,DO,F,49.0
19555,19556,1,8,1992,7,RM,F,12.0
19556,19557,1,8,1992,1,DO,M,58.0
19557,19558,1,8,1992,17,DM,F,36.0
19558,19559,1,8,1992,18,PF,F,7.0
19559,19560,1,8,1992,19,OT,M,20.0
19560,19561,1,8,1992,17,DM,M,47.0
19561,19562,1,8,1992,2,PE,M,22.0
19562,19563,1,8,1992,18,OT,F,23.0
19563,19564,1,8,1992,1,DM,M,50.0
19564,19565,1,8,1992,2,DO,F,48.0
19565,19566,1,8,1992,1,DO,M,30.0
19566,19567,1,8,1992,19,BA,M,8.0
19567,19568,1,8,1992,22,DS,,
19568,19569,1,8,1992,12,DM,F,41.0
19569,19570,1,8,1992,1,DO,F,45.0
19570,19571,1,8,1992,12,DM,M,38.0
19571,19572,1,8,1992,19,OT,M,20.0
19572,19573,1,8,1992,1,PP,F,15.0
19573,19574,1,8,1992,23,RM,,
19574,19575,1,8,1992,21,RM,M,6.0
19575,19576,1,8,1992,2,OT,M,22.0
19576,19577,1,8,1992,12,RM,M,9.0
19577,19578,1,8,1992,20,RM,M,9.0
19578,19579,1,8,1992,2,RM,F,8.0
19579,19580,1,8,1992,2,PE,F,19.0
19580,19581,1,8,1992,19,RM,M,9.0
19581,19582,1,8,1992,7,RM,F,10.0
19582,19583,1,8,1992,17,DO,F,51.0
19583,19584,1,8,1992,19,BA,F,7.0
19584,19585,1,8,1992,7,PE,F,24.0
19585,19586,1,9,1992,3,RM,M,8.0
19586,19587,1,9,1992,9,DM,F,38.0
19587,19588,1,9,1992,13,PC,,
19588,19589,1,9,1992,5,RM,M,8.0
19589,19590,1,9,1992,13,PH,F,29.0
19590,19591,1,9,1992,4,DM,M,42.0
19591,19592,1,9,1992,13,PC,,
19592,19593,1,9,1992,3,,F,166.0
19593,19594,1,9,1992,3,PE,F,20.0
19594,19595,1,9,1992,14,OL,M,24.0
19595,19596,1,9,1992,3,PP,M,17.0
19596,19597,1,9,1992,11,UR,,
19597,19598,1,9,1992,8,OT,F,23.0
19598,19599,1,9,1992,14,DM,M,41.0
19599,19600,1,9,1992,16,RM,F,8.0
19600,19601,1,9,1992,4,DM,F,36.0
19601,19602,1,9,1992,11,DM,M,39.0
19602,19603,1,9,1992,8,DM,M,45.0
19603,19604,1,9,1992,8,DX,,
19604,19605,1,9,1992,13,RM,M,10.0
19605,19606,1,9,1992,14,DM,F,38.0
19606,19607,1,9,1992,8,DO,F,47.0
19607,19608,1,9,1992,8,DM,M,42.0
19608,19609,1,9,1992,13,RM,M,8.0
19609,19610,1,9,1992,14,DM,M,49.0
19610,19611,1,9,1992,11,RM,M,9.0
19611,19612,1,9,1992,9,DM,M,39.0
19612,19613,1,9,1992,16,RM,M,10.0
19613,19614,1,9,1992,9,OT,M,23.0
19614,19615,1,9,1992,11,DM,M,45.0
19615,19616,1,9,1992,9,DM,M,46.0
19616,19617,1,9,1992,8,DM,F,41.0
19617,19618,1,9,1992,4,DM,M,48.0
19618,19619,1,9,1992,11,RM,F,10.0
19619,19620,1,9,1992,4,DM,M,45.0
19620,19621,1,9,1992,15,RM,F,9.0
19621,19622,1,9,1992,13,DM,M,46.0
19622,19623,1,9,1992,9,DM,M,40.0
19623,19624,1,9,1992,4,OT,M,22.0
19624,19625,1,9,1992,11,DM,M,50.0
19625,19626,1,9,1992,5,OT,M,26.0
19626,19627,1,9,1992,4,OT,F,23.0
19627,19628,1,9,1992,9,DM,M,42.0
19628,19629,1,9,1992,16,RM,F,13.0
19629,19630,1,9,1992,13,OT,M,35.0
19630,19631,1,9,1992,4,OT,M,23.0
19631,19632,1,9,1992,7,PC,,
19632,19633,1,9,1992,3,SO,F,38.0
19633,19634,1,9,1992,5,OT,F,23.0
19634,19635,1,9,1992,10,RM,,
19635,19636,1,9,1992,6,,,
19636,19637,2,6,1992,7,RM,,11.0
19637,19638,2,6,1992,7,PE,M,23.0
