"","record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
"1",845,5,6,1978,2,"NL","M",32,204,"Neotoma","albigula","Rodent","Control"
"2",1164,8,5,1978,2,"NL","M",34,199,"Neotoma","albigula","Rodent","Control"
"3",1261,9,4,1978,2,"NL","M",32,197,"Neotoma","albigula","Rodent","Control"
"4",1756,4,29,1979,2,"NL","M",33,166,"Neotoma","albigula","Rodent","Control"
"5",1818,5,30,1979,2,"NL","M",32,184,"Neotoma","albigula","Rodent","Control"
"6",1882,7,4,1979,2,"NL","M",32,206,"Neotoma","albigula","Rodent","Control"
"7",2133,10,25,1979,2,"NL","F",33,274,"Neotoma","albigula","Rodent","Control"
"8",2184,11,17,1979,2,"NL","F",30,186,"Neotoma","albigula","Rodent","Control"
"9",2406,1,16,1980,2,"NL","F",33,184,"Neotoma","albigula","Rodent","Control"
"10",3000,5,18,1980,2,"NL","F",31,87,"Neotoma","albigula","Rodent","Control"
"11",3002,5,18,1980,2,"NL","F",33,174,"Neotoma","albigula","Rodent","Control"
"12",4667,7,8,1981,2,"NL","F",30,130,"Neotoma","albigula","Rodent","Control"
"13",4859,10,1,1981,2,"NL","M",34,208,"Neotoma","albigula","Rodent","Control"
"14",5048,11,23,1981,2,"NL","M",34,192,"Neotoma","albigula","Rodent","Control"
"15",5299,1,25,1982,2,"NL","F",32,165,"Neotoma","albigula","Rodent","Control"
"16",5485,2,24,1982,2,"NL","M",34,202,"Neotoma","albigula","Rodent","Control"
"17",5558,3,29,1982,2,"NL","M",33,211,"Neotoma","albigula","Rodent","Control"
"18",5583,3,29,1982,2,"NL","M",31,120,"Neotoma","albigula","Rodent","Control"
"19",5966,5,22,1982,2,"NL","F",32,40,"Neotoma","albigula","Rodent","Control"
"20",6020,6,28,1982,2,"NL","M",33,222,"Neotoma","albigula","Rodent","Control"
"21",6023,6,28,1982,2,"NL","F",30,100,"Neotoma","albigula","Rodent","Control"
"22",6036,6,28,1982,2,"NL","F",33,120,"Neotoma","albigula","Rodent","Control"
"23",6479,8,16,1982,2,"NL","F",31,112,"Neotoma","albigula","Rodent","Control"
"24",6500,8,16,1982,2,"NL","F",33,152,"Neotoma","albigula","Rodent","Control"
"25",8022,6,18,1983,2,"NL","F",30,126,"Neotoma","albigula","Rodent","Control"
"26",8263,8,16,1983,2,"NL","F",32,147,"Neotoma","albigula","Rodent","Control"
"27",8387,9,11,1983,2,"NL","F",32,138,"Neotoma","albigula","Rodent","Control"
"28",8394,9,11,1983,2,"NL","F",32,161,"Neotoma","albigula","Rodent","Control"
"29",8407,9,11,1983,2,"NL","M",33,148,"Neotoma","albigula","Rodent","Control"
"30",8514,10,16,1983,2,"NL","F",32,151,"Neotoma","albigula","Rodent","Control"
"31",8543,10,16,1983,2,"NL","F",31,175,"Neotoma","albigula","Rodent","Control"
"32",8657,11,13,1983,2,"NL","F",32,158,"Neotoma","albigula","Rodent","Control"
"33",8675,11,13,1983,2,"NL","F",32,164,"Neotoma","albigula","Rodent","Control"
"34",8755,12,9,1983,2,"NL","F",32,150,"Neotoma","albigula","Rodent","Control"
"35",9048,4,10,1984,2,"NL","F",32,157,"Neotoma","albigula","Rodent","Control"
"36",9132,5,13,1984,2,"NL","M",32,125,"Neotoma","albigula","Rodent","Control"
"37",9270,5,28,1984,2,"NL","M",33,125,"Neotoma","albigula","Rodent","Control"
"38",9349,7,4,1984,2,"NL","M",35,130,"Neotoma","albigula","Rodent","Control"
"39",9512,8,26,1984,2,"NL","F",31,151,"Neotoma","albigula","Rodent","Control"
"40",9605,9,30,1984,2,"NL","F",32,173,"Neotoma","albigula","Rodent","Control"
"41",9703,10,21,1984,2,"NL","M",30,126,"Neotoma","albigula","Rodent","Control"
"42",10606,7,24,1985,2,"NL","F",30,91,"Neotoma","albigula","Rodent","Control"
