record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
845,5,6,1978,2,NL,M,32,204
1164,8,5,1978,2,NL,M,34,199
1261,9,4,1978,2,NL,M,32,197
1756,4,29,1979,2,NL,M,33,166
1818,5,30,1979,2,NL,M,32,184
1882,7,4,1979,2,NL,M,32,206
2133,10,25,1979,2,NL,F,33,274
2184,11,17,1979,2,NL,F,30,186
2406,1,16,1980,2,NL,F,33,184
3000,5,18,1980,2,NL,F,31,87
3002,5,18,1980,2,NL,F,33,174
4667,7,8,1981,2,NL,F,30,130
4859,10,1,1981,2,NL,M,34,208
5048,11,23,1981,2,NL,M,34,192
5299,1,25,1982,2,NL,F,32,165
5485,2,24,1982,2,NL,M,34,202
5558,3,29,1982,2,NL,M,33,211
5583,3,29,1982,2,NL,M,31,120
5966,5,22,1982,2,NL,F,32,40
6020,6,28,1982,2,NL,M,33,222
6023,6,28,1982,2,NL,F,30,100
6036,6,28,1982,2,NL,F,33,120
6479,8,16,1982,2,NL,F,31,112
6500,8,16,1982,2,NL,F,33,152
8022,6,18,1983,2,NL,F,30,126
8263,8,16,1983,2,NL,F,32,147
8387,9,11,1983,2,NL,F,32,138
8394,9,11,1983,2,NL,F,32,161
8407,9,11,1983,2,NL,M,33,148
8514,10,16,1983,2,NL,F,32,151
8543,10,16,1983,2,NL,F,31,175
8657,11,13,1983,2,NL,F,32,158
8675,11,13,1983,2,NL,F,32,164
8755,12,9,1983,2,NL,F,32,150
9048,4,10,1984,2,NL,F,32,157
9132,5,13,1984,2,NL,M,32,125
9270,5,28,1984,2,NL,M,33,125
9349,7,4,1984,2,NL,M,35,130
9512,8,26,1984,2,NL,F,31,151
9605,9,30,1984,2,NL,F,32,173
9703,10,21,1984,2,NL,M,30,126
10606,7,24,1985,2,NL,F,30,91
10617,7,24,1985,2,NL,M,32,186
10627,7,24,1985,2,NL,F,32,174
10720,8,20,1985,2,NL,F,31,106
10923,10,13,1985,2,NL,F,31,136
10949,10,13,1985,2,NL,F,33,148
11215,12,8,1985,2,NL,F,32,160
11329,3,9,1986,2,NL,M,34,240
11496,5,11,1986,2,NL,F,31,163
11498,5,11,1986,2,NL,F,31,82
11611,6,5,1986,2,NL,F,32,110
11628,6,5,1986,2,NL,M,34,227
11709,7,4,1986,2,NL,F,31,184
11877,9,7,1986,2,NL,M,34,202
11879,9,7,1986,2,NL,F,32,135
11887,9,7,1986,2,NL,M,33,177
